spec_function,source_path,source_line,definition,doc_comment,math_interpretation,informal_interpretation
u8_32_as_nat,curve25519-dalek/src/specs/core_specs.rs,20,pub open spec fn u8_32_as_nat(bytes: &[u8; 32]) -> nat {\n    (bytes[ 0] as nat) * pow2( 0 * 8) +\n    (bytes[ 1] as nat) * pow2( 1 * 8) +\n    (bytes[ 2] as nat) * pow2( 2 * 8) +\n    (bytes[ 3] as nat) * pow2( 3 * 8) +\n    (bytes[ 4] as nat) * pow2( 4 * 8) +\n    (bytes[ 5] as nat) * pow2( 5 * 8) +\n    (bytes[ 6] as nat) * pow2( 6 * 8) +\n    (bytes[ 7] as nat) * pow2( 7 * 8) +\n    (bytes[ 8] as nat) * pow2( 8 * 8) +\n    (bytes[ 9] as nat) * pow2( 9 * 8) +\n    (bytes[10] as nat) * pow2(10 * 8) +\n    (bytes[11] as nat) * pow2(11 * 8) +\n    (bytes[12] as nat) * pow2(12 * 8) +\n    (bytes[13] as nat) * pow2(13 * 8) +\n    (bytes[14] as nat) * pow2(14 * 8) +\n    (bytes[15] as nat) * pow2(15 * 8) +\n    (bytes[16] as nat) * pow2(16 * 8) +\n    (bytes[17] as nat) * pow2(17 * 8) +\n    (bytes[18] as nat) * pow2(18 * 8) +\n    (bytes[19] as nat) * pow2(19 * 8) +\n    (bytes[20] as nat) * pow2(20 * 8) +\n    (bytes[21] as nat) * pow2(21 * 8) +\n    (bytes[22] as nat) * pow2(22 * 8) +\n    (bytes[23] as nat) * pow2(23 * 8) +\n    (bytes[24] as nat) * pow2(24 * 8) +\n    (bytes[25] as nat) * pow2(25 * 8) +\n    (bytes[26] as nat) * pow2(26 * 8) +\n    (bytes[27] as nat) * pow2(27 * 8) +\n    (bytes[28] as nat) * pow2(28 * 8) +\n    (bytes[29] as nat) * pow2(29 * 8) +\n    (bytes[30] as nat) * pow2(30 * 8) +\n    (bytes[31] as nat) * pow2(31 * 8)\n},"Convert a 32-byte array to its natural number representation (little-endian).\n\nThis function interprets a byte array as a 256-bit little-endian integer:\nbytes[0] + bytes[1] * 2^8 + bytes[2] * 2^16 + ... + bytes[31] * 2^248\n\nIMPORTANT: This explicit 32-term form is kept for SMT solver efficiency.\nFor generic arrays, use `bytes_seq_as_nat(bytes@)` directly.","sum_i b[i] * 2^(8i), little-endian 256-bit",Interprets a 32-byte little-endian array as a natural number.
bytes_seq_as_nat,curve25519-dalek/src/specs/core_specs.rs,118,"pub open spec fn bytes_seq_as_nat(bytes: Seq<u8>) -> nat\n    decreases bytes.len(),\n{\n    if bytes.len() == 0 {\n        0\n    } else {\n        (bytes[0] as nat) + pow2(8) * bytes_seq_as_nat(bytes.skip(1))\n    }\n}",Little-endian natural value of an arbitrary-length byte sequence.\nComputes: bytes[0] + bytes[1] * 2^8 + bytes[2] * 2^16 + ...,"sum_i b[i] * 2^(8i), variable-length",Interprets a sequence of bytes as a natural number in little-endian order.
compressed_edwards_y_corresponds_to_edwards,curve25519-dalek/src/specs/edwards_specs.rs,480,"pub open spec fn compressed_edwards_y_corresponds_to_edwards(\n    compressed: CompressedEdwardsY,\n    point: EdwardsPoint,\n) -> bool {\n    let (x_affine, y_affine) = edwards_point_as_affine(point);\n    // The y-coordinate in the compressed form matches the affine y-coordinate\n    field_element_from_bytes(&compressed.0)\n        == y_affine\n    // The sign bit matches the sign of the affine x-coordinate\n     && (compressed.0[31] >> 7) == (((x_affine % crate::specs::field_specs_u64::p()) % 2) as u8)\n}",Spec function: check if a CompressedEdwardsY corresponds to an EdwardsPoint\nThe compressed form should match the affine y-coordinate and x sign bit,"Compressed(y,sign) matches (X:Y:Z:T) in E(F_p)",Relates a `CompressedEdwardsY` encoding to an `EdwardsPoint` (y-coordinate matches; sign bit matches x).
compressed_y_has_valid_sign_bit,curve25519-dalek/src/specs/edwards_specs.rs,503,"pub open spec fn compressed_y_has_valid_sign_bit(bytes: &[u8; 32]) -> bool {\n    let y = field_element_from_bytes(bytes);\n    let sign_bit = bytes[31] >> 7;\n    // If y² ≡ 1 (mod p), then x = 0, so sign_bit must be 0\n    // Equivalently: sign_bit == 1 implies y² ≢ 1\n    field_square(y) == 1 ==> sign_bit == 0\n}","Check if a CompressedEdwardsY has a valid sign bit.\n\n## Mathematical basis\n\nFor points with x = 0 on the Edwards curve, the curve equation gives y² = 1,\nso y = ±1. These special points (the identity (0,1) and the point (0,-1))\nhave only one valid sign bit: 0, since sign_bit = x % 2 = 0.\n\n## Definition\n\nIf the Y coordinate yields x = 0 (i.e., y² ≡ 1 mod p), the sign bit must be 0.",y^2 = 1 mod p => sign_bit = 0,Predicate capturing when the sign bit in a compressed Edwards-Y encoding is valid for decoding.
edwards_add,curve25519-dalek/src/specs/edwards_specs.rs,706,"pub open spec fn edwards_add(x1: nat, y1: nat, x2: nat, y2: nat) -> (nat, nat) {\n    let d = fe51_as_canonical_nat(&EDWARDS_D);\n    let x1x2 = field_mul(x1, x2);\n    let y1y2 = field_mul(y1, y2);\n    let x1y2 = field_mul(x1, y2);\n    let y1x2 = field_mul(y1, x2);\n    let t = field_mul(d, field_mul(x1x2, y1y2));\n    let denom_x = field_add(1, t);\n    let denom_y = field_sub(1, t);\n    let x3 = field_mul(field_add(x1y2, y1x2), field_inv(denom_x));\n    let y3 = field_mul(field_add(y1y2, x1x2), field_inv(denom_y));\n    (x3, y3)\n}","Affine Edwards addition for a = -1 twisted Edwards curves (Ed25519).\nGiven (x1,y1) and (x2,y2) on the curve, returns (x3,y3) = (x1,y1) + (x2,y2).\nFormulas:\nx3 = (x1*y2 + y1*x2) / (1 + d*x1*x2*y1*y2)\ny3 = (y1*y2 + x1*x2) / (1 - d*x1*x2*y1*y2)\n\nThese are the unified addition formulas for twisted Edwards curves with a = -1.\nReference: [BBJLP2008] Section 3.1, [RFC8032] Section 5.1.4","(x1,y1) + (x2,y2) on -x^2+y^2=1+dx^2y^2",Adds two affine Edwards points (group law).
edwards_double,curve25519-dalek/src/specs/edwards_specs.rs,721,"pub open spec fn edwards_double(x: nat, y: nat) -> (nat, nat) {\n    edwards_add(x, y, x, y)\n}",Affine Edwards doubling defined as addition with itself.,2P = P + P on twisted Edwards,Affine Edwards doubling defined as addition with itself.
edwards_neg,curve25519-dalek/src/specs/edwards_specs.rs,749,"pub open spec fn edwards_neg(point: (nat, nat)) -> (nat, nat) {\n    (field_neg(point.0), point.1)\n}","Affine Edwards negation for twisted Edwards curves with a=-1.\nThe negation of point (x, y) is (-x, y).","(x,y) -> (-x,y) on twisted Edwards",Negates an affine Edwards point (group inverse).
edwards_point_as_affine,curve25519-dalek/src/specs/edwards_specs.rs,394,"pub open spec fn edwards_point_as_affine(point: crate::edwards::EdwardsPoint) -> (nat, nat) {\n    let (x, y, z, _t) = spec_edwards_point(point);\n    let z_inv = field_inv(z);\n    (field_mul(x, z_inv), field_mul(y, z_inv))\n}","Returns the abstract affine coordinates (x, y) from an EdwardsPoint.\nAn EdwardsPoint (X:Y:Z:T) represents affine point (X/Z, Y/Z).","(X:Y:Z:T) -> (X/Z, Y/Z) in F_p x F_p",Converts an extended/projective Edwards point representation to affine coordinates.
edwards_point_limbs_bounded,curve25519-dalek/src/specs/edwards_specs.rs,366,"pub open spec fn edwards_point_limbs_bounded(point: crate::edwards::EdwardsPoint) -> bool {\n    fe51_limbs_bounded(&point.X, 52) && fe51_limbs_bounded(&point.Y, 52) && fe51_limbs_bounded(\n        &point.Z,\n        52,\n    ) && fe51_limbs_bounded(&point.T, 52)\n}",EdwardsPoint invariant: all coordinate limbs must be 52-bounded.,"all limbs of (X,Y,Z,T) < 2^52",EdwardsPoint invariant: all coordinate limbs must be 52-bounded.
edwards_scalar_mul,curve25519-dalek/src/specs/edwards_specs.rs,831,"pub open spec fn edwards_scalar_mul(point_affine: (nat, nat), n: nat) -> (nat, nat)\n    decreases n,\n{\n    if n == 0 {\n        math_edwards_identity()  // (0, 1)\n\n    } else if n == 1 {\n        point_affine\n    } else if n % 2 == 0 {\n        let half = edwards_scalar_mul(point_affine, (n / 2) as nat);\n        edwards_double(half.0, half.1)\n    } else {\n        let prev = edwards_scalar_mul(point_affine, (n - 1) as nat);\n        edwards_add(prev.0, prev.1, point_affine.0, point_affine.1)\n    }\n}","Scalar multiplication on Edwards curve points (affine coordinates).\n\nUses double-and-add instead of linear recursion to closer match the implementation of mul_by_pow_2\n\n- **Linear**: `n*P = (n-1)*P + P` — reveal gives `add(scalar_mul(P, n-1), P)`\n- **Double-and-add**: even n → `double(scalar_mul(P, n/2))`",[n]P via double-and-add on E(F_p),Computes scalar multiplication of an affine Edwards point by a natural number.
