function_name,github_link,has_spec_verus,has_proof_verus,has_spec_lean,has_proof_lean
fmt,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/build.rs#L15,,,,
is_capable_simd,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/build.rs#L77,,,,
determine_curve25519_dalek_bits_warning,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/build.rs#L94,,,,
determine_curve25519_dalek_bits,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/build.rs#L99,,,,
get_selected_backend,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/backend/mod.rs#L55,,,,
pippenger_optional_multiscalar_mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/backend/mod.rs#L79,,,,
straus_multiscalar_mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/backend/mod.rs#L176,,,,
straus_optional_multiscalar_mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/backend/mod.rs#L204,,,,
variable_base_mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/backend/mod.rs#L233,,,,
vartime_double_base_mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/backend/mod.rs#L247,,,,
identity,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L230,,,,
identity,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L240,,,,
